FAFB,MAOL,MCNS
720575940611125202,204935,112021
720575940611129720,209645,112037
720575940629453467,211898,112045
720575940630113218,224743,112050
720575940645557870,539977,112075
720575940622260830,542238,112117
720575940632043215,545984,112123
720575940641982683,546479,112128
720575940617088837,554192,112202
720575940652542198,61431,112207
720575940615425534,39950,112282
720575940622963992,44371,112301
720575940624293895,46582,112307
720575940638123241,48186,112309
720575940611212441,49145,112327
720575940618210305,50126,112335
720575940622084212,50489,112368
720575940622947708,51312,112372
720575940626119472,51561,112373
720575940632407265,52925,112397
720575940611225976,53289,112495
720575940620422480,54240,112544
720575940621892702,54570,112587
720575940622636876,56085,112614
720575940623452455,59400,112637
720575940611255250,59587,112639
720575940611260114,60456,112655
720575940621949957,60577,112679
720575940622840245,62366,112691
720575940630117570,65130,112708
720575940616089906,65432,112731
720575940611287928,65951,112800
720575940622003411,66190,112802
720575940631184633,66566,112862
720575940632209199,66626,112890
720575940632588236,67298,112931
720575940628659912,70923,112972
720575940630993768,71235,113066
720575940611305678,73025,113086
720575940624115789,80596,113105
720575940628880912,97943,113122
720575940630725340,100384,113146
720575940611363170,106178,113161
720575940611370872,109742,113187
720575940618454848,113264,113201
720575940623253640,113788,113292
720575940626272002,114262,113295
720575940626439866,117900,113362
720575940626465667,124181,113373
720575940631992623,164927,113391
720575940632110543,57604,113445
720575940622606867,58225,113493
720575940611423842,65531,113503
720575940626237386,67074,113504
720575940611462350,68903,113505
720575940611482517,70980,113551
720575940619451887,72691,113552
720575940620931931,72979,113554
720575940621842928,73481,113556
720575940622377421,73652,113561
720575940629470107,74000,113577
720575940629494210,76828,113614
720575940639859534,77265,113718
720575940640878544,78108,113726
720575940619115077,79676,113763
720575940618375451,80785,113765
720575940626502970,80866,113774
720575940627568259,81451,113857
720575940629329516,81829,113944
720575940623571711,82145,114034
720575940621314480,82931,114056
720575940627344729,84415,114081
720575940627706122,84753,114180
720575940620595792,85248,114228
720575940611642210,88259,114339
720575940613547673,88273,114350
720575940611643256,91253,114412
720575940611646584,91578,114434
720575940611652194,93318,114481
720575940617426773,96625,114501
720575940617473721,98800,114533
720575940634188770,100890,114543
720575940627335576,103727,114672
720575940632898444,104471,114673
720575940640012403,104733,114690
720575940623783167,104936,114692
720575940642372237,105857,114701
720575940615647634,107299,114722
720575940616675033,107505,114768
720575940617345467,109418,114825
720575940618693154,112778,114915
720575940626011952,114274,114989
720575940629148944,114873,114998
720575940617365597,115560,115026
720575940620049488,116307,115088
720575940621607078,117373,115107
720575940627036170,117681,115123
720575940625666200,117785,115172
720575940635037082,118174,115206
720575940627965031,120127,115247
720575940625260839,125354,115250
720575940627760015,125361,115306
720575940615730026,125622,115324
720575940615198370,127619,115332
720575940638302948,127662,115373
720575940613246322,128235,115379
720575940621068404,129376,115387
720575940628182661,132195,115448
720575940630822522,133030,115506
720575940622750941,137119,115523
720575940629207056,139983,115530
720575940632588113,145298,115539
720575940611860578,14919,115590
720575940622599518,21682,115605
720575940630010955,22180,115676
720575940630334787,23031,115710
720575940627616277,23597,115784
720575940637626480,23678,115886
720575940611869206,23759,115888
720575940614621687,26252,115908
720575940623214474,26435,115940
720575940623688455,26690,115947
720575940622199372,27066,115975
720575940622362845,27381,116053
720575940623943143,27636,116088
720575940622719564,28053,116124
720575940627800007,28145,116167
720575940630372603,28353,116305
720575940621771969,28681,116372
720575940627996924,28912,116400
720575940628319484,29020,116417
720575940628717062,29028,116418
720575940641752309,29174,116545
720575940611965138,29322,116578
720575940623477272,29468,116660
720575940624811708,29477,116664
720575940640964304,29500,116684
720575940630050686,29539,116810
720575940630754942,29637,116854
720575940632542289,29957,116891
720575940633169060,30129,116894
720575940641636571,30164,116911
720575940652792310,30233,116948
720575940612678130,30235,116962
720575940621305953,30352,116988
720575940628467708,30384,117015
720575940633590445,30416,117118
720575940615427650,30563,117167
720575940630238007,30609,117177
720575940624231677,30701,117181
720575940625306812,30740,117214
720575940642688909,30761,117354
720575940653631905,30824,117395
720575940630204476,30861,117447
720575940616810582,30950,117467
720575940624467197,30990,117488
720575940615315602,31095,117537
720575940624832841,31133,117793
720575940632700487,31198,117803
720575940612067546,31258,117808
720575940612079054,31282,117847
720575940612085909,31352,117850
720575940612090005,31441,117851
720575940621721549,31496,117893
720575940622117572,31645,118098
720575940623108129,31749,118107
720575940631372406,31764,118108
720575940636497118,31856,118134
720575940612103386,31969,118195
